auc_delta	cluster	cluster_top_signature	collection	dataset_id	doi	evidence_note	expected_cluster_label	leading_overlap_genes	mean_metric_background	mean_metric_in_pathway	notes	overlap_marker_genes	overlap_n	p_adj_bh	p_value	panel	pathway_name	pathway_priority_label	pathway_size_in_ranked_genes	ranked_gene_n	reference	reference_marker_genes	significant_fdr_0_05	status	summary_id	support_status	url	value
0.1629835392642538	0	ductal_malignant_context	hallmark	pdac_gse154778				ANXA1;APP;ATF3;BCL2L1;BCL2L2;BIK;BIRC3;BTG2;CASP3;CCND1;CFLAR;DDIT3;ENO2;ERBB2;ERBB3;GPX4;GSN;HSPB1;IFITM3;JUN;KRT18;LGALS3;LMNA;MADD;MCL1;PTK2;RELA;RETSAT;RHOB;SAT1	1.2631072380849742	2.01562890991932				0.0013118113148015568	0.00016554689268481618	figure4_pathway_top_hits	HALLMARK_APOPTOSIS	manuscript_interpretable_candidate	41	3000			True					
0.1629835392642538	0	ductal_malignant_context	hallmark	pdac_gse154778				ANXA1;APP;ATF3;BCL2L1;BCL2L2;BIK;BIRC3;BTG2;CASP3;CCND1;CFLAR;DDIT3;ENO2;ERBB2;ERBB3;GPX4;GSN;HSPB1;IFITM3;JUN;KRT18;LGALS3;LMNA;MADD;MCL1;PTK2;RELA;RETSAT;RHOB;SAT1	1.2631072380849742	2.01562890991932				0.0013118113148015568	0.00016554689268481618	figure4_pathway_interpretable_hits	HALLMARK_APOPTOSIS	manuscript_interpretable_candidate	41	3000			True					
0.19839045234268915	0	ductal_malignant_context	hallmark	pdac_gse154778				CD59;COPA;DST;ENO2;ITGA2;ITGB1;JUN;LAMA3;LAMC2;MEST;NT5E;PLOD2;PMEPA1;QSOX1;RHOB;SAT1;SCG2;SDC1;SDC4;SERPINE2;SLC6A8;SNTB1;TGFBR3;TIMP1;TNFRSF11B;TNFRSF12A;VEGFA	1.2641775792309864	2.2879688794966095				0.0014671003277566728	0.00018955211746414852	figure4_pathway_top_hits	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	manuscript_interpretable_candidate	27	3000			True					
0.19839045234268915	0	ductal_malignant_context	hallmark	pdac_gse154778				CD59;COPA;DST;ENO2;ITGA2;ITGB1;JUN;LAMA3;LAMC2;MEST;NT5E;PLOD2;PMEPA1;QSOX1;RHOB;SAT1;SCG2;SDC1;SDC4;SERPINE2;SLC6A8;SNTB1;TGFBR3;TIMP1;TNFRSF11B;TNFRSF12A;VEGFA	1.2641775792309864	2.2879688794966095				0.0014671003277566728	0.00018955211746414852	figure4_pathway_interpretable_hits	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	manuscript_interpretable_candidate	27	3000			True					
0.21338299041455522	0	ductal_malignant_context	hallmark	pdac_gse154778				CANX;EEF1B2;EIF3B;EIF4G2;FAM120A;HSP90AB1;HSPE1;ORC2;PABPC1;PGK1;RPL14;RPL18;RPL22;RPL34;RPL6;RPLP0;RPS2;RPS3;RPS5;RPS6;TARDBP;TRIM28	1.2597510669558059	3.1198375184427607				0.0019846717230996625	0.00027654956216712666	figure4_pathway_top_hits	HALLMARK_MYC_TARGETS_V1	background_significant_pathway	22	3000			True					
0.12020649378901038	0	ductal_malignant_context	hallmark	pdac_gse154778				ACVR1B;AK1;ANKRA2;APP;ATF3;BTG1;BTG2;DDIT3;DGKA;EI24;EPHA2;EPS8L2;ERCC5;FOS;GPX2;HEXIM1;HINT1;HSPA4L;ITGB4;JAG2;JUN;KLF4;KLK8;LIF;MDM2;MXD4;NDRG1;NOTCH1;OSGIN1;PERP	1.2597109736756185	1.9325336256965262				0.003886926880275028	0.0006445364197714272	figure4_pathway_top_hits	HALLMARK_P53_PATHWAY	manuscript_interpretable_candidate	61	3000			True					
0.12020649378901038	0	ductal_malignant_context	hallmark	pdac_gse154778				ACVR1B;AK1;ANKRA2;APP;ATF3;BTG1;BTG2;DDIT3;DGKA;EI24;EPHA2;EPS8L2;ERCC5;FOS;GPX2;HEXIM1;HINT1;HSPA4L;ITGB4;JAG2;JUN;KLF4;KLK8;LIF;MDM2;MXD4;NDRG1;NOTCH1;OSGIN1;PERP	1.2597109736756185	1.9325336256965262				0.003886926880275028	0.0006445364197714272	figure4_pathway_interpretable_hits	HALLMARK_P53_PATHWAY	manuscript_interpretable_candidate	61	3000			True					
0.12063115032236171	0	ductal_malignant_context	hallmark	pdac_gse154778				ABHD2;AFF1;AGR2;ALDH3B1;ANXA9;ASS1;ATP2B4;CA12;CCND1;CD9;CDH1;COX6C;DNAJC12;FARP1;FOS;FOXC1;FRK;GALE;GPER1;HOMER2;HSPA4L;HSPB8;IL6ST;IMPA2;KLF4;KLK10;KLK11;KRT19;LAMC2;LLGL2	1.2614109112037657	1.939568820427049				0.006758852835569309	0.0012864771447550583	figure4_pathway_top_hits	HALLMARK_ESTROGEN_RESPONSE_LATE	background_significant_pathway	53	3000			True					
0.11710661945950795	0	ductal_malignant_context	hallmark	pdac_gse154778				ADM;ADORA2B;AKAP12;ALDOA;ANGPTL4;ANKZF1;ANXA2;ATF3;ATP7A;BTG1;CA12;CP;DDIT3;EFNA1;EGFR;ENO2;ERRFI1;EXT1;F3;FOS;GAPDH;GBE1;GCNT2;GPC4;HDLBP;HK2;HS3ST1;IDS;JUN;KDM3A	1.2673759126424546	1.6078922309965458				0.00855268420546158	0.001713749116850236	figure4_pathway_top_hits	HALLMARK_HYPOXIA	manuscript_interpretable_candidate	53	3000			True					
0.11710661945950795	0	ductal_malignant_context	hallmark	pdac_gse154778				ADM;ADORA2B;AKAP12;ALDOA;ANGPTL4;ANKZF1;ANXA2;ATF3;ATP7A;BTG1;CA12;CP;DDIT3;EFNA1;EGFR;ENO2;ERRFI1;EXT1;F3;FOS;GAPDH;GBE1;GCNT2;GPC4;HDLBP;HK2;HS3ST1;IDS;JUN;KDM3A	1.2673759126424546	1.6078922309965458				0.00855268420546158	0.001713749116850236	figure4_pathway_interpretable_hits	HALLMARK_HYPOXIA	manuscript_interpretable_candidate	53	3000			True					
0.15834652088428525	0	ductal_malignant_context	hallmark	pdac_gse154778				ACTG1;ALCAM;ANTXR2;ATF3;ATXN2;CD9;CPEB2;ERRFI1;HMGCS1;HSD17B7;LDLR;LGALS3;MAL2;PCYT2;S100A11;SCD;SREBF2;STARD4;TM7SF2;TNFRSF12A;TP53INP1	1.2687877947530237	1.9264886776606243				0.02394113898434613	0.006134418186784628	figure4_pathway_top_hits	HALLMARK_CHOLESTEROL_HOMEOSTASIS	background_significant_pathway	21	3000			True					
0.10199999999999998	0	ductal_malignant_context	hallmark	pdac_gse154778				ACTG1;ACTN4;ADAM9;AMH;CDH1;CDH15;CDK8;CLDN15;CLDN4;CLDN7;COL17A1;CRB3;CTNNA1;CTNND1;DLG1;EGFR;GAMT;GRB7;INPPL1;IRS1;ITGA10;ITGA2;ITGA3;ITGB1;ITGB4;JUP;LAMA3;LAMB3;LAMC2;LIMA1	1.2613542560803688	1.9836009472608567				0.025427846951133877	0.006623178163609894	figure4_pathway_top_hits	HALLMARK_APICAL_JUNCTION	manuscript_interpretable_candidate	50	3000			True					
0.10199999999999998	0	ductal_malignant_context	hallmark	pdac_gse154778				ACTG1;ACTN4;ADAM9;AMH;CDH1;CDH15;CDK8;CLDN15;CLDN4;CLDN7;COL17A1;CRB3;CTNNA1;CTNND1;DLG1;EGFR;GAMT;GRB7;INPPL1;IRS1;ITGA10;ITGA2;ITGA3;ITGB1;ITGB4;JUP;LAMA3;LAMB3;LAMC2;LIMA1	1.2613542560803688	1.9836009472608567				0.025427846951133877	0.006623178163609894	figure4_pathway_interpretable_hits	HALLMARK_APICAL_JUNCTION	manuscript_interpretable_candidate	50	3000			True					
0.12813040761392036	0	ductal_malignant_context	hallmark	pdac_gse154778				ADAM9;ANG;ANXA1;CAPN2;CAPN5;CD9;CRIP2;CTSE;DPP4;DUSP6;F12;F3;FURIN;GDA;GNG12;GSN;HNF4A;HPN;ITGA2;KLK8;MAFF;MMP7;MST1;PDGFB;RAC1;S100A13;SERPINA1;TIMP1	1.2707957324357566	1.548935214323657				0.03420173484614162	0.009714809464024081	figure4_pathway_top_hits	HALLMARK_COAGULATION	background_significant_pathway	28	3000			True					
0.10866477887754489	0	ductal_malignant_context	hallmark	pdac_gse154778				AHR;ALCAM;ANXA4;BCL2L1;BMPR2;CASP3;CDCP1;CSF2;DHRS3;FURIN;GPX4;HIPK2;HK2;IFITM3;IGF1R;IL4R;IRF6;ITGA6;KLF6;LIF;MAFF;MAPKAPK2;MUC1;MYO1E;NCOA3;NDRG1;NT5E;P2RX4;PLEC;PTCH1	1.2689382858129017	1.6115086796956184				0.034326532234892675	0.00977258645410278	figure4_pathway_top_hits	HALLMARK_IL2_STAT5_SIGNALING	background_significant_pathway	39	3000			True					
0.11689795316711593	0	ductal_malignant_context	hallmark	pdac_gse154778				ABCC4;ABHD2;AKAP12;AZGP1;B2M;CCND1;CDC14B;CDK6;ELK4;ELL2;HMGCS1;HOMER2;INPP4B;KRT19;KRT8;LIFR;MAP7;NDRG1;NKX3-1;PDLIM5;PMEPA1;RPS6KA3;RRP12;SAT1;SCD;SLC26A2;SORD;SRF;STK39;TMPRSS2	1.265121146976305	2.0404855804517865				0.03880251938738526	0.011363568545172837	figure4_pathway_top_hits	HALLMARK_ANDROGEN_RESPONSE	background_significant_pathway	32	3000			True					
0.19287387085981933	0	ductal_malignant_context	hallmark	pdac_gse154778				APP;FGFR1;JAG2;PTK2;S100A4;SERPINA5;SLCO2A1;TIMP1;TNFRSF21;VAV2;VEGFA	1.2714983998692206	1.7878532355481929				0.044532329876566294	0.013506049342845928	figure4_pathway_top_hits	HALLMARK_ANGIOGENESIS	manuscript_interpretable_candidate	11	3000			True					
0.19287387085981933	0	ductal_malignant_context	hallmark	pdac_gse154778				APP;FGFR1;JAG2;PTK2;S100A4;SERPINA5;SLCO2A1;TIMP1;TNFRSF21;VAV2;VEGFA	1.2714983998692206	1.7878532355481929				0.044532329876566294	0.013506049342845928	figure4_pathway_interpretable_hits	HALLMARK_ANGIOGENESIS	manuscript_interpretable_candidate	11	3000			True					
0.08273526077097504	0	ductal_malignant_context	hallmark	pdac_gse154778				ABHD2;ABLIM1;AFF1;ALDH3B1;ANXA9;ASB13;CA12;CANT1;CCND1;CLDN7;DEPTOR;DHRS3;ELF3;ESRP2;FARP1;FHL2;FOS;FOXC1;FRK;HSPB8;IGF1R;IL6ST;KDM4B;KLF4;KLK10;KRT15;KRT18;KRT19;KRT8;LAD1	1.2628154553016837	1.7916277368863425				0.04586237797711385	0.01400071638555179	figure4_pathway_top_hits	HALLMARK_ESTROGEN_RESPONSE_EARLY	background_significant_pathway	60	3000			True					
0.4199476397717805	0	ductal_malignant_context	reactome	pdac_gse154778				EEF1A1;EEF1B2;EEF1D;EEF2;FAU;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32	1.1729437779710488	4.8932372210202395				3.773827176616632e-36	1.9134898360309682e-38	figure4_pathway_top_hits	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	low_specificity_housekeeping_or_infection_proxy	81	3000			True					
0.40919148866679733	0	ductal_malignant_context	reactome	pdac_gse154778				EIF3A;EIF3B;EIF3C;EIF3H;EIF4A2;EIF4G1;FAU;PABPC1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3	1.173719597124432	4.733437590301037				1.4419751545525492e-35	7.582216775111997e-38	figure4_pathway_top_hits	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	low_specificity_housekeeping_or_infection_proxy	84	3000			True					
0.3906689735153125	0	ductal_malignant_context	reactome	pdac_gse154778				EEF1A1;EEF1B2;EEF1D;EEF2;EIF3A;EIF3B;EIF3C;EIF3H;EIF4A2;EIF4G1;FAU;GSPT2;PABPC1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26	1.1710944589612902	4.543531007491625				4.310880039688497e-35	2.5905757984982517e-37	figure4_pathway_top_hits	REACTOME_TRANSLATION	low_specificity_housekeeping_or_infection_proxy	91	3000			True					
0.41777352129277734	0	ductal_malignant_context	reactome	pdac_gse154778				ATF3;DDIT3;FAU;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35	1.1758065176557	4.8815729712383655				5.392423292787222e-35	3.3417834490512355e-37	figure4_pathway_top_hits	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	background_significant_pathway	79	3000			True					
0.3982558139534884	0	ductal_malignant_context	reactome	pdac_gse154778				EIF4G1;FAU;GSPT2;PABPC1;PNRC2;PPP2R2A;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31	1.173986640934594	4.641605012985163				1.4698512766281104e-34	9.660994306475842e-37	figure4_pathway_top_hits	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	low_specificity_housekeeping_or_infection_proxy	86	3000			True					
0.41698037873602556	0	ductal_malignant_context	reactome	pdac_gse154778				FAU;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36	1.1762181932717297	4.913660795642779				1.76785720950233e-34	1.2283702676354217e-36	figure4_pathway_top_hits	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	low_specificity_housekeeping_or_infection_proxy	78	3000			True					
0.3994729407538049	0	ductal_malignant_context	reactome	pdac_gse154778				DAG1;EIF4G1;FAU;GSPT2;PABPC1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32	1.1745015019640348	4.706294322297687				4.732986856226654e-34	3.6441776733388324e-36	figure4_pathway_top_hits	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	background_significant_pathway	84	3000			True					
0.40575448844898787	0	ductal_malignant_context	reactome	pdac_gse154778				FAU;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36	1.1765382325596208	4.85451804422125				4.098108881872155e-33	3.30927102198127e-35	figure4_pathway_top_hits	REACTOME_SELENOAMINO_ACID_METABOLISM	background_significant_pathway	79	3000			True					
0.3791924398625429	0	ductal_malignant_context	reactome	pdac_gse154778				DAG1;EIF4G1;FAU;GSPT2;PABPC1;PAK4;PPP3CB;PRKCA;RAC1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29	1.1742728522655481	4.478234474526511				7.836835442587474e-33	6.475507220166175e-35	figure4_pathway_top_hits	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	background_significant_pathway	90	3000			True					
0.3831942028060207	0	ductal_malignant_context	reactome	pdac_gse154778				CANX;CLTC;FAU;HSP90AA1;HSPA1A;KPNA4;NUP133;NUP210;PABPN1;POM121C;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28	1.1760090164783972	4.573079404442809				4.3228360985656175e-32	3.6531009283653107e-34	figure4_pathway_top_hits	REACTOME_INFLUENZA_INFECTION	low_specificity_housekeeping_or_infection_proxy	86	3000			True					
0.38648801582745107	0	ductal_malignant_context	reactome	pdac_gse154778				CSNK1D;CSNK1E;DIS3;FAU;FTSJ3;HEATR1;RIOK3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30	1.176472757260686	4.6795671068760285				1.5129927288959478e-31	1.306998413694152e-33	figure4_pathway_top_hits	REACTOME_RRNA_PROCESSING	background_significant_pathway	83	3000			True					
0.37412428963354893	0	ductal_malignant_context	reactome	pdac_gse154778				ATF3;ATP6V1C1;DDIT3;FAU;FLCN;FNIP1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31	1.1770766728106676	4.6168991057645705				6.133317306368831e-30	5.758983386261813e-32	figure4_pathway_top_hits	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	background_significant_pathway	84	3000			True					
0.303272222294663	0	ductal_malignant_context	reactome	pdac_gse154778				AFMID;ASS1;BCAT1;DBT;DUOX2;FAU;GAMT;GATM;GPT;IYD;MRI1;MTAP;MTR;NQO1;OAZ1;PHYKPL;PRODH;RIMKLA;RIMKLB;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19	1.1756656101512843	3.9414983681350386				1.0492934329655807e-24	1.1823024596795275e-26	figure4_pathway_top_hits	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	background_significant_pathway	106	3000			True					
0.23908805831002622	0	ductal_malignant_context	reactome	pdac_gse154778				ABLIM1;ACTG1;AGRN;ALCAM;ANK1;AP2A2;ARHGEF12;ARHGEF28;ARPC1A;CACNA1C;CLTB;CLTC;COL9A3;DAG1;DLG1;DLG3;DOK4;EFNA1;EFNA2;EFNA4;EFNA5;EFNB1;EGFR;EGR2;EIF4G1;EPHA2;EPHB4;ERBB2;EZR;FARP2	1.1702502029403101	2.979750167730956				3.148789083137507e-24	3.666195739991088e-26	figure4_pathway_top_hits	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	background_significant_pathway	171	3000			True					
0.24593850752791147	0	ductal_malignant_context	reactome	pdac_gse154778				ADAR;ADAT2;APOBEC1;CNOT11;CNOT2;CNOT4;CPSF7;CSNK1D;CSNK1E;DCP1B;DCP2;DDX39B;DDX42;DDX5;DDX6;DIS3;EIF4A2;EIF4G1;ERCC3;FAU;FTSJ3;FUS;GSPT2;GTF2H2;HEATR1;HNRNPH1;HNRNPL;HSPA1A;HSPB1;IGF2BP2	1.1712388505053628	3.2007656802010063				7.732045179136385e-23	9.873785393075572e-25	figure4_pathway_top_hits	REACTOME_METABOLISM_OF_RNA	background_significant_pathway	151	3000			True					
0.21526840795825897	0	ductal_malignant_context	reactome	pdac_gse154778				AGRN;ANO6;ANO7;ANO9;AP2A2;ARID4B;ATP1A1;ATP1B1;B2M;BCL2L1;BTRC;CANX;CCNT1;CCNT2;CDK8;CHD3;CHMP4C;CHMP7;CLTC;CRB3;CUL3;CUL5;DDX5;DYNC1I2;DYNLL1;EEF1A1;EGFR;ERCC3;FAU;FURIN	1.1675880454782055	2.911604344189822				6.729405384308074e-21	9.351661942512629e-23	figure4_pathway_top_hits	REACTOME_VIRAL_INFECTION_PATHWAYS	low_specificity_housekeeping_or_infection_proxy	182	3000			True					
0.19071331324238927	0	ductal_malignant_context	reactome	pdac_gse154778				ABI2;ACTG1;ADAM17;ADCY6;ADORA2B;AGRN;AHCYL1;ANO6;ANO7;ANO9;ANTXR2;AP2A2;APP;ARID4B;ARPC1A;ATP1A1;ATP1B1;B2M;BCL2L1;BTRC;CANX;CBL;CCNT1;CCNT2;CD9;CDH1;CDK8;CHD3;CHMP4C;CHMP7	1.1644556817383358	2.604138754800553				3.7659299571451667e-20	5.445570078876579e-22	figure4_pathway_top_hits	REACTOME_INFECTIOUS_DISEASE	low_specificity_housekeeping_or_infection_proxy	227	3000			True					
0.1825308988243538	0	ductal_malignant_context	reactome	pdac_gse154778				ABCC3;ADCY6;ADM;AGO1;AGO3;ALB;ANXA2;ATF3;ATF6;ATM;ATP6V1C1;ATP7A;BAG3;BAG4;BCL2L1;BTRC;CA9;CAMK2D;CAPN2;CARM1;CBX4;CCAR2;CDK6;COX4I1;COX5B;COX6A1;COX6B1;COX6C;COX7C;CREBRF	1.1703705247966114	2.621373005596125				1.7207448698021703e-17	2.9729301036957684e-19	figure4_pathway_top_hits	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	background_significant_pathway	213	3000			True					
0.434750486206934	0	ductal_malignant_context	reactome	pdac_gse154778				EEF1A1;FAU;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9	1.2328082249998926	5.160241379853217				1.8800704888108436e-15	3.7071812455425086e-17	figure4_pathway_top_hits	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	low_specificity_housekeeping_or_infection_proxy	31	3000			True					
0.3975016190675995	0	ductal_malignant_context	reactome	pdac_gse154778				EIF3A;EIF3B;EIF3C;EIF3H;EIF4A2;EIF4G1;FAU;PABPC1;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A	1.2325552983176173	4.543614969865696				2.1617792817871982e-15	4.3032601665623096e-17	figure4_pathway_top_hits	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	background_significant_pathway	37	3000			True					
0.37583560695356866	0	ductal_malignant_context	reactome	pdac_gse154778				BCL2L1;EEF1A1;FAU;PDPK1;RCAN3;RELA;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5	1.2308101875127753	4.346530681703149				3.1219922558051793e-15	6.273298992885525e-17	figure4_pathway_top_hits	REACTOME_SARS_COV_1_HOST_INTERACTIONS	low_specificity_housekeeping_or_infection_proxy	41	3000			True					
0.432631874298541	0	ductal_malignant_context	reactome	pdac_gse154778				FAU;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA	1.2347143935434746	5.102445132533709				7.786793078407396e-15	1.5939163296646126e-16	figure4_pathway_top_hits	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	low_specificity_housekeeping_or_infection_proxy	30	3000			True					
0.315138398526586	0	ductal_malignant_context	reactome	pdac_gse154778				BCL2L1;CANX;CHMP4C;CHMP7;DDX5;EEF1A1;FAU;PARP10;PARP14;PARP4;PARP6;PDPK1;RCAN3;RELA;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS27	1.230220288998315	3.7697151087078393				2.482738783005261e-13	5.455031692236911e-15	figure4_pathway_top_hits	REACTOME_SARS_COV_1_INFECTION	low_specificity_housekeeping_or_infection_proxy	51	3000			True					
